 Fracturing Stage-           1
____________________________________________________
Fracture Aperture(m) at Injection Point vs time(min)
____________________________________________________
  2.225718701883947E-004  1.269531250000000E-002
  2.415700365515920E-004  1.348876953125000E-002
  2.457366554041620E-004  1.368713378906250E-002
  2.495973914780762E-004  1.388549804687500E-002
  3.663468845715677E-004  3.065134684244792E-002
  3.708188661572001E-004  3.169921239217122E-002
  3.744790674060448E-004  3.274707794189453E-002
  3.772015153070936E-004  3.327101071675619E-002
  3.802342795544178E-004  3.379494349161784E-002
  3.834255727831383E-004  3.431887626647949E-002
  4.731690274334943E-004  5.971182584762573E-002
  4.802897550092572E-004  6.288594454526901E-002
  4.848311059377029E-004  6.447300389409065E-002
  4.901494905957997E-004  6.606006324291229E-002
  4.905017548680426E-004  6.645682808011770E-002
  4.910315454686518E-004  6.685359291732311E-002
  4.915385795840239E-004  6.725035775452852E-002
  5.159912325381793E-004  7.568288229716320E-002
  5.691853008898111E-004  0.101786543469643     
  5.768650066565063E-004  0.108312458762763     
  5.788619420123782E-004  0.109943937586043     
  5.818323433814128E-004  0.111575416409323     
  5.849131608285322E-004  0.113206895232603     
  5.866700261317521E-004  0.114838374055883     
  6.104426746571584E-004  0.132320780134190     
  6.435365239515630E-004  0.157728649840010     
  6.433660826661440E-004  0.160904633553237     
  6.446238018362342E-004  0.164080617266465     
  6.485654079042494E-004  0.167256600979692     
  6.522205476233952E-004  0.170432584692920     
  6.641147786043310E-004  0.179559913954560     
  6.708196040848247E-004  0.188687243216200     
  7.035286808365984E-004  0.220532740162430     
  7.046568173228998E-004  0.228494114398988     
